com.samsung.shealth.breathing,6188005,1
duration,start_time,custom,update_time,create_time,cycle,time_offset,deviceuuid,pkg_name,end_time,datauuid
60,2019-06-03 08:15:14.647,,2019-06-03 08:16:15.231,2019-06-03 08:16:15.231,6,UTC+0300,AumAWJiKT9,com.sec.android.app.shealth,2019-06-03 08:16:15.180,2d5d0cc7-6c82-6218-a3f2-5a1cf2588c46,
42,2021-02-14 12:00:36.397,,2021-02-14 12:01:19.297,2021-02-14 12:01:19.297,4,UTC+0200,AumAWJiKT9,com.sec.android.app.shealth,2021-02-14 12:01:19.162,2afe2015-e5df-1fa7-b951-8e2b4b9a0c8d,
60,2019-06-06 12:46:09.605,,2019-06-06 12:47:10.192,2019-06-06 12:47:10.192,6,UTC+0300,AumAWJiKT9,com.sec.android.app.shealth,2019-06-06 12:47:10.135,a90965ed-6540-8dad-1f6f-a32542ab94b7,
120,2021-03-11 06:56:41.951,,2021-03-11 06:58:42.749,2021-03-11 06:58:42.749,12,UTC+0200,AumAWJiKT9,com.sec.android.app.shealth,2021-03-11 06:58:42.587,9052dd69-3cac-0887-cb25-44376120fee8,
4,2021-02-14 12:23:40.076,,2021-02-14 12:23:44.654,2021-02-14 12:23:44.654,0,UTC+0200,AumAWJiKT9,com.sec.android.app.shealth,2021-02-14 12:23:44.568,1ba93c7e-3351-5b26-ef58-6bfe7e83bca7,
60,2019-06-06 12:47:18.382,,2019-06-06 12:48:18.969,2019-06-06 12:48:18.969,6,UTC+0300,AumAWJiKT9,com.sec.android.app.shealth,2019-06-06 12:48:18.931,986288c0-c385-bf47-4005-e34de5e92bee,
120,2021-06-17 06:43:19.386,,2021-06-17 06:45:20.140,2021-06-17 06:45:20.140,12,UTC+0300,AumAWJiKT9,com.sec.android.app.shealth,2021-06-17 06:45:20.003,372f97cc-60ad-e520-00c2-ccabd6999a55,
120,2021-02-14 12:23:54.895,,2021-02-14 12:25:55.652,2021-02-14 12:25:55.652,12,UTC+0200,AumAWJiKT9,com.sec.android.app.shealth,2021-02-14 12:25:55.532,306ccf9c-9c80-a1ca-2c6f-ba5ddca61b64,
60,2019-10-29 15:40:25.951,,2019-10-29 15:41:26.608,2019-10-29 15:41:26.608,6,UTC+0200,AumAWJiKT9,com.sec.android.app.shealth,2019-10-29 15:41:26.504,ee1a5665-282b-b73c-9fb5-da29ca3ff46a,
120,2021-06-17 21:23:27.530,,2021-06-17 21:25:28.457,2021-06-17 21:25:28.457,12,UTC+0300,AumAWJiKT9,com.sec.android.app.shealth,2021-06-17 21:25:28.227,16939b0f-3e32-b2d8-9ffb-314d098b6cef,
120,2021-02-14 14:02:26.512,,2021-02-14 14:04:27.282,2021-02-14 14:04:27.282,12,UTC+0200,AumAWJiKT9,com.sec.android.app.shealth,2021-02-14 14:04:27.135,8a2fc0f6-3a80-7548-b7fb-96c3d846c192,
6,2020-03-30 10:22:57.128,,2020-03-30 10:23:03.332,2020-03-30 10:23:03.332,0,UTC+0300,AumAWJiKT9,com.sec.android.app.shealth,2020-03-30 10:23:03.232,d5546bc4-832b-20b8-c897-c0c28ef6e388,
120,2020-10-09 11:53:07.516,,2020-10-09 11:55:08.553,2020-10-09 11:55:08.553,12,UTC+0300,AumAWJiKT9,com.sec.android.app.shealth,2020-10-09 11:55:08.257,4e3bfd8a-c608-8f7d-3bf9-0e9615e59b16,
120,2021-02-14 14:05:06.910,,2021-02-14 14:07:07.662,2021-02-14 14:07:07.662,12,UTC+0200,AumAWJiKT9,com.sec.android.app.shealth,2021-02-14 14:07:07.539,36c92158-8d5a-6470-4ea6-7c6598f4d6c4,
120,2021-03-10 04:09:00.116,,2021-03-10 04:11:00.903,2021-03-10 04:11:00.903,12,UTC+0200,AumAWJiKT9,com.sec.android.app.shealth,2021-03-10 04:11:00.755,024c7e07-4100-093f-bbd4-b12af2f1cdf0,
